title,link,text,date
学校举行2025年学生出国（境）交流双选会,../info/1003/112141.htm,学校举行2025年学生出国（境）交流双选会,2025.03.18
学校召开2025年外事工作会议,../info/1003/112121.htm,学校召开2025年外事工作会议,2025.03.17
解决“急难愁盼”答好民生答卷——西南财经大学2024年十件民生实事盘点,../info/1003/112061.htm,解决“急难愁盼”答好民生答卷——西南财经大学2024年十件民生实事盘...,2025.03.17
学校召开2025年全面从严治党工作会议暨校内巡察动员部署会,../info/1003/112051.htm,学校召开2025年全面从严治党工作会议暨校内巡察动员部署会,2025.03.14
学校召开2025年春季学期学位与研究生教育院长工作会,../info/1003/112091.htm,学校召开2025年春季学期学位与研究生教育院长工作会,2025.03.14
教育部中外人文交流中心主任于长学一行来校调研座谈,../info/1003/112081.htm,教育部中外人文交流中心主任于长学一行来校调研座谈,2025.03.14
美国宾夕法尼亚州印第安纳大学副校长一行访问我校,../info/1003/112071.htm,美国宾夕法尼亚州印第安纳大学副校长一行访问我校,2025.03.13
浙江省高校心理咨询工作联盟一行来我校调研,../info/1003/112031.htm,浙江省高校心理咨询工作联盟一行来我校调研,2025.03.12
学校党委常委会召开（扩大）会议 专题学习习近平总书记在全国两会期间的重要讲话精神和全国两会精神,../info/1003/112041.htm,学校党委常委会召开（扩大）会议 专题学习习近平总书记在全国两会期间...,2025.03.12
共植新绿 同护春光——学校开展2025年植树节活动,../info/1003/111951.htm,共植新绿 同护春光——学校开展2025年植树节活动,2025.03.12
2025年四川省大学生志愿服务西部计划首场宣讲会在我校顺利召开,../info/1003/111981.htm,2025年四川省大学生志愿服务西部计划首场宣讲会在我校顺利召开,2025.03.12
学校举行百年校庆筹备学院（研究院）工作推进会,../info/1003/111941.htm,学校举行百年校庆筹备学院（研究院）工作推进会,2025.03.11
四川银行党委副书记程永革一行到访我校,../info/1003/111911.htm,四川银行党委副书记程永革一行到访我校,2025.03.10
校领导带队参加四川省“十五五”科技金融创新发展研究编制工作座谈会,../info/1003/111901.htm,校领导带队参加四川省“十五五”科技金融创新发展研究编制工作座谈会,2025.03.10
绿色金融与环境、社会和公司治理国际学术研讨会成功举办,../info/1003/111891.htm,绿色金融与环境、社会和公司治理国际学术研讨会成功举办,2025.03.08
奋进新征程 巾帼绽芳华——学校举行庆祝“三八”国际劳动妇女节表彰座谈会,../info/1003/111851.htm,奋进新征程 巾帼绽芳华——学校举行庆祝“三八”国际劳动妇女节表彰座...,2025.03.07
学校召开2025年春季学期本科教学工作会议,../info/1003/111921.htm,学校召开2025年春季学期本科教学工作会议,2025.03.06
校领导带队赴四川振兴集团座谈交流并看望校友,../info/1003/111841.htm,校领导带队赴四川振兴集团座谈交流并看望校友,2025.03.06
学校召开春季学期分管科研工作负责人会议,../info/1003/111871.htm,学校召开春季学期分管科研工作负责人会议,2025.03.06
学校十四届纪委召开第二次全体会议,../info/1003/111831.htm,学校十四届纪委召开第二次全体会议,2025.03.05
四川财经职业学院党委书记张华一行到访我校,../info/1003/111821.htm,四川财经职业学院党委书记张华一行到访我校,2025.03.05
校领导赴成都交子金控集团调研,../info/1003/111881.htm,校领导赴成都交子金控集团调研,2025.03.04
四川省妇女联合会一行来访我校,../info/1003/111861.htm,四川省妇女联合会一行来访我校,2025.03.04
学校召开特邀党建组织员聘任仪式,../info/1003/112901.htm,学校召开特邀党建组织员聘任仪式,2025.05.08
学校澳大利亚校友会成立,../info/1003/112891.htm,学校澳大利亚校友会成立,2025.05.08
学校第九届国际文化节成功举办,../info/1003/112881.htm,学校第九届国际文化节成功举办,2025.05.06
罗马尼亚巴比什-波雅依大学副校长一行访问我校,../info/1003/112791.htm,罗马尼亚巴比什-波雅依大学副校长一行访问我校,2025.05.01
